_id,position,dept,year,name,email,class
q1990329,學生,生物機電所,1,嶽二 (YUE ER),q1990329@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990330,學生,生物機電所,1,馮四 (FENG SI),q1990330@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990331,學生,生物機電所,1,馬五 (MA WU),q1990331@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990332,學生,生物機電所,1,彭七 (PENG QI),q1990332@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990333,學生,生物機電所,1,徐六 (XU LIU),q1990333@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990334,學生,生物機電所,1,周八 (ZHOU BA),q1990334@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990335,學生,生物機電所,1,吳八 (WU BA),q1990335@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990336,學生,生物機電所,1,郭六 (GUO LIU),q1990336@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990337,學生,工管系企管組,3,宋四 (SONG SI),q1990337@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990338,學生,工管系科管組,2,施四 (SHI SI),q1990338@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990339,學生,財金系,4,王三 (WANG SAN),q1990339@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990340,學生,資訊管理所,1,卓九 (ZHUO JIU),q1990340@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990341,學生,資訊管理所,1,朱六 (ZHU LIU),q1990341@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990342,學生,資訊管理所,1,林四 (LIN SI),q1990342@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990343,學生,資訊管理所,1,韓二 (HAN ER),q1990343@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990344,學生,資訊管理所,2,董六 (DONG LIU),q1990344@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990345,學生,流預所,2,宋七 (SONG QI),q1990345@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990346,學生,電機系,3,朱十 (ZHU SHI),q1990346@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990347,學生,電機系,3,王一 (WANG YI),q1990347@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990348,學生,電機系,3,劉一 (LIU YI),q1990348@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990349,學生,電機系,4,郭九 (GUO JIU),q1990349@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990350,學生,電機系,4,李三 (LI SAN),q1990350@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990351,學生,電機系,4,章四 (ZHANG SI),q1990351@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990352,學生,資工系,3,謝三 (XIE SAN),q1990352@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990353,學生,資工系,3,鄧八 (DENG BA),q1990353@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990354,學生,資工系,4,田一 (TIAN YI),q1990354@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990355,學生,資工系,4,田七 (TIAN QI),q1990355@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990356,學生,電機所,1,姜七 (JIANG QI),q1990356@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990357,學生,電機所,1,何七 (HE QI),q1990357@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990358,學生,電機所,1,孫八 (SUN BA),q1990358@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990359,學生,電機所,1,魯十 (LU SHI),q1990359@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
r12921059,學生,電機所,1,"鄧雅文 (TENG, YA-WEN)",r12921059@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990360,學生,電機所,1,范六 (FAN LIU),q1990360@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
r12921093,學生,電機所,1,吳吉加 (CHI-CHIA WU),r12921093@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990361,學生,電機所,1,嶽八 (YUE BA),q1990361@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990362,學生,電機所,1,吳一 (WU YI),q1990362@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990363,學生,電機所,1,卓六 (ZHUO LIU),q1990363@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990364,學生,電機所,1,高十 (GAO SHI),q1990364@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990365,學生,,3,鄧九 (DENG JIU),q1990365@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990366,學生,,2,鄧七 (DENG QI),q1990366@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990367,學生,資工所,1,鄭七 (ZHENG QI),q1990367@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990368,學生,資工所,1,徐三 (XU SAN),q1990368@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990369,學生,資工所,1,嶽六 (YUE LIU),q1990369@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990370,學生,資工所,1,章六 (ZHANG LIU),q1990370@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
r12922116,學生,資工所,1,"王偉力 (WANG, WEI-LI)",r12922116@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990371,學生,資工所,1,謝十 (XIE SHI),q1990371@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990372,學生,資工所,1,田四 (TIAN SI),q1990372@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990373,學生,資工所,1,楊四 (YANG SI),q1990373@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990374,學生,資工所,1,范三 (FAN SAN),q1990374@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990375,學生,資工所,1,楊三 (YANG SAN),q1990375@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990376,學生,資工所,1,朱三 (ZHU SAN),q1990376@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990377,學生,資工所,1,唐十 (TANG SHI),q1990377@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990378,學生,資工所,2,宋五 (SONG WU),q1990378@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990379,學生,資工所,2,許三 (XU SAN),q1990379@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990380,學生,電信所,1,蔡七 (CAI QI),q1990380@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990381,學生,電信所,1,薛八 (XUE BA),q1990381@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990382,學生,電信所,1,鄭二 (ZHENG ER),q1990382@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990383,學生,電信所,1,田六 (TIAN LIU),q1990383@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990384,學生,電信所,1,楊六 (YANG LIU),q1990384@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990385,學生,網媒所,1,章一 (ZHANG YI),q1990385@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990386,學生,網媒所,1,林五 (LIN WU),q1990386@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990387,學生,網媒所,1,羅六 (LUO LIU),q1990387@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990388,學生,生醫電資所,1,鄧五 (DENG WU),q1990388@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990389,學生,基因學位學程,1,李九 (LI JIU),q1990389@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990390,旁聽生,政治所,2,呂十 (LV SHI),q1990390@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990391,旁聽生,政治所,3,董八 (DONG BA),q1990391@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990392,旁聽生,政治所,3,劉六 (LIU LIU),q1990392@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990393,旁聽生,土木所CAE組,1,蘇五 (SU WU),q1990393@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990394,旁聽生,電機系,2,陳十 (CHEN SHI),q1990394@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990395,旁聽生,電機系,3,董一 (DONG YI),q1990395@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990396,旁聽生,資工系,2,施五 (SHI WU),q1990396@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990397,旁聽生,電機所,3,何八 (HE BA),q1990397@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990398,旁聽生,資工所,3,施十 (SHI SHI),q1990398@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990399,旁聽生,電信所,2,孫三 (SUN SAN),q1990399@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
